year,state_name,total_spend,dem_pct,rep_pct
2018,California,616260806,67,28
2018,District of Columbia,511923092,57,41
2018,New York,490601635,72,24
2018,Texas,295940533,40,56
2018,Florida,214498755,42,54
2018,Illinois,208958529,60,38
2018,Virginia,196457941,43,54
2018,Nevada,158727113,32,65
2018,Massachusetts,136002523,74,22
2018,Pennsylvania,105666359,57,40
2018,Ohio,94064131,43,53
2018,Washington,89712344,68,29
2018,Maryland,79642864,73,23
2018,New Jersey,78266834,65,32
2018,Michigan,75563731,49,49
2018,Georgia,61402643,34,63
2018,Missouri,54010910,45,53
2018,Indiana,53392776,40,53
2018,Connecticut,52931450,64,33
2018,North Carolina,52514773,44,53
2018,Colorado,52281612,54,42
2018,Arizona,50550487,43,55
2018,Minnesota,50402024,55,43
2018,Tennessee,43993601,35,61
2018,Wisconsin,43868461,47,51
2018,Kansas,28140164,34,62
2018,Louisiana,25984862,19,75
2018,Arkansas,25956720,29,69
2018,Alabama,24417482,30,64
2018,Oklahoma,23924590,27,68
2018,Oregon,23025156,71,23
2018,Montana,18939734,49,50
2018,Kentucky,18469679,40,57
2018,Wyoming,17969939,37,59
2018,South Carolina,17434562,34,64
2018,New Mexico,15690100,68,28
2018,Utah,14310164,47,49
2018,Nebraska,13924975,39,57
2018,Iowa,13759325,49,46
2018,Mississippi,12566650,22,74
2018,Maine,11974440,65,19
2018,Rhode Island,9576374,67,29
2018,New Hampshire,9064179,66,31
2018,North Dakota,8816907,35,63
2018,Idaho,8158023,38,59
2018,West Virginia,7394530,39,59
2018,Hawaii,6739547,78,19
2018,Delaware,5799262,59,38
2018,South Dakota,5795206,27,68
2018,Alaska,4819621,50,48
2018,Vermont,4568356,80,13
2016,California,756675466,69,29
2016,New York,617443547,71,26
2016,District of Columbia,481157263,57,42
2016,Texas,323124854,31,67
2016,Florida,317694017,41,57
2016,Illinois,271389324,54,45
2016,Virginia,201322929,41,57
2016,Pennsylvania,160384290,65,34
2016,Ohio,145772125,21,78
2016,Nevada,126728749,30,67
2016,Maryland,124432441,77,21
2016,Massachusetts,119678926,75,23
2016,Connecticut,91105154,60,37
2016,New Jersey,87579453,54,42
2016,Michigan,85637741,46,52
2016,Georgia,77341241,34,64
2016,Washington,76642166,69,29
2016,Colorado,73892527,57,41
2016,North Carolina,65900012,44,54
2016,Wisconsin,64218644,39,60
2016,Missouri,60281617,40,58
2016,Arizona,52686535,42,56
2016,Arkansas,49490346,36,63
2016,Louisiana,49079465,19,79
2016,Minnesota,47749526,53,44
2016,Tennessee,44263465,30,67
2016,Indiana,43263091,28,70
2016,Oklahoma,34327113,27,70
2016,Oregon,27016696,71,26
2016,Kentucky,25770612,39,59
2016,Kansas,24610201,32,66
2016,Nebraska,24178655,39,60
2016,Alabama,21340249,26,72
2016,South Carolina,19631064,31,67
2016,Iowa,18229354,42,55
2016,Utah,14869897,45,52
2016,New Hampshire,14387923,55,44
2016,New Mexico,14381628,65,32
2016,Maine,13147811,69,29
2016,Wyoming,11543424,26,73
2016,Mississippi,11317795,15,83
2016,Rhode Island,10818904,71,28
2016,Idaho,10013972,33,65
2016,Delaware,8606355,60,38
2016,Hawaii,8345364,77,20
2016,Montana,7559064,52,46
2016,West Virginia,6857233,36,63
2016,Vermont,6790996,87,12
2016,Alaska,6078471,42,54
2016,South Dakota,5969989,28,70
2016,North Dakota,3620073,29,70
2014,District of Columbia,340921523,54,45
2014,California,331873388,56,39
2014,New York,235285713,61,35
2014,Texas,152825947,25,71
2014,Virginia,129613274,35,62
2014,Illinois,111684597,42,55
2014,Florida,104220021,33,61
2014,Massachusetts,72047181,64,34
2014,Pennsylvania,56335934,38,58
2014,Michigan,53543816,40,58
2014,Georgia,53513757,30,69
2014,Maryland,52029153,65,30
2014,Ohio,46745508,25,72
2014,New Jersey,44872187,59,39
2014,Colorado,41829144,45,53
2014,Connecticut,39452868,50,48
2014,North Carolina,36022380,34,64
2014,Minnesota,32340286,38,60
2014,Washington,30576730,55,43
2014,Louisiana,29605779,28,68
2014,Arkansas,27587493,41,58
2014,Arizona,24738325,36,61
2014,Tennessee,24650296,22,75
2014,Missouri,24175346,22,76
2014,Oklahoma,23872600,15,82
2014,Kansas,22015625,19,75
2014,Nevada,21449166,33,63
2014,Kentucky,20906382,31,66
2014,Wisconsin,20206457,26,71
2014,Indiana,19607452,26,72
2014,Alabama,17086849,12,85
2014,South Carolina,14189888,22,77
2014,Oregon,13649811,54,42
2014,Nebraska,12812721,22,76
2014,Iowa,12685852,45,54
2014,Wyoming,11253023,22,74
2014,New Mexico,10072775,62,37
2014,West Virginia,9994369,38,61
2014,Mississippi,9839958,12,85
2014,Hawaii,9186937,82,16
2014,Maine,8466862,57,41
2014,New Hampshire,8074427,48,50
2014,Utah,6834017,42,55
2014,Montana,6814622,38,62
2014,South Dakota,5908858,15,82
2014,Rhode Island,5191605,75,23
2014,Alaska,5099153,38,61
2014,Delaware,4556138,62,36
2014,Idaho,3639073,29,68
2014,North Dakota,3065748,37,59
2014,Vermont,2876058,81,16
