state_abbr,year,dname,dno,geopost,geoid
VT,2016,addison,1,,50A-1
VT,2016,addison,2,,50A-2
VT,2016,addison,3,,50A-3
VT,2016,addison,4,,50A-4
VT,2016,addison,5,,50A-5
VT,2016,addisonrutland,,,50A-R
VT,2016,bennington,1,,50B-1
VT,2016,bennington,2,1,50B21
VT,2016,bennington,2,2,50B22
VT,2016,bennington,3,,50B-3
VT,2016,bennington,4,,50B-4
VT,2016,benningtonrutland,,,50B-R
VT,2016,caledonia,1,,50CA1
VT,2016,caledonia,2,,50CA2
VT,2016,caledonia,3,,50CA3
VT,2016,caledonia,4,,50CA4
VT,2016,caledoniawashington,,,50CAW
VT,2016,chittenden,1,,50C-1
VT,2016,chittenden,2,,50C-2
VT,2016,chittenden,3,,50C-3
VT,2016,chittenden,4,1,50C41
VT,2016,chittenden,4,2,50C42
VT,2016,chittenden,5,1,50C51
VT,2016,chittenden,5,2,50C52
VT,2016,chittenden,6,1,50C61
VT,2016,chittenden,6,2,50C62
VT,2016,chittenden,6,3,50C63
VT,2016,chittenden,6,4,50C64
VT,2016,chittenden,6,5,50C65
VT,2016,chittenden,6,6,50C66
VT,2016,chittenden,6,7,50C67
VT,2016,chittenden,7,1,50C71
VT,2016,chittenden,7,2,50C72
VT,2016,chittenden,7,3,50C73
VT,2016,chittenden,7,4,50C74
VT,2016,chittenden,8,1,50C81
VT,2016,chittenden,8,2,50C82
VT,2016,chittenden,8,3,50C83
VT,2016,chittenden,9,1,50C91
VT,2016,chittenden,9,2,50C92
VT,2016,chittenden,10,,50C10
VT,2016,essexcaledonia,,,50E-C
VT,2016,essexcaledoniaorleans,,,50ECO
VT,2016,franklin,1,,50F-1
VT,2016,franklin,2,,50F-2
VT,2016,franklin,3,1,50F31
VT,2016,franklin,3,2,50F32
VT,2016,franklin,4,,50F-4
VT,2016,franklin,5,,50F-5
VT,2016,franklin,6,,50F-6
VT,2016,franklin,7,,50F-7
VT,2016,grandislechittenden,,,50GIC
VT,2016,lamoille,1,,50LM1
VT,2016,lamoille,2,,50LM2
VT,2016,lamoille,3,,50LM3
VT,2016,lamoillewashington,,,50LMW
VT,2016,orange,1,,50OR1
VT,2016,orange,2,,50OR2
VT,2016,orangecaledonia,,,50O-C
VT,2016,orangewashingtonaddison,,,50OWA
VT,2016,orleans,1,,50O-1
VT,2016,orleans,2,,50O-2
VT,2016,orleanscaledonia,,,50OLC
VT,2016,orleanslamoille,,,50O-L
VT,2016,rutland,1,,50R-1
VT,2016,rutland,2,,50R-2
VT,2016,rutland,3,,50R-3
VT,2016,rutland,4,,50R-4
VT,2016,rutland,5,1,50R51
VT,2016,rutland,5,2,50R52
VT,2016,rutland,5,3,50R53
VT,2016,rutland,5,4,50R54
VT,2016,rutland,6,,50R-6
VT,2016,rutlandbennington,,,50R-B
VT,2016,rutlandwindsor,1,,50R-W
VT,2016,rutlandwindsor,2,,50RW2
VT,2016,washington,1,,50WA1
VT,2016,washington,2,,50WA2
VT,2016,washington,3,,50WA3
VT,2016,washington,4,,50WA4
VT,2016,washington,5,,50WA5
VT,2016,washington,6,,50WA6
VT,2016,washington,7,,50WA7
VT,2016,washingtonchittenden,,,50WAC
VT,2016,windham,1,,50W-1
VT,2016,windham,2,1,50W21
VT,2016,windham,2,2,50W22
VT,2016,windham,2,3,50W23
VT,2016,windham,3,,50W-3
VT,2016,windham,4,,50W-4
VT,2016,windham,5,,50W-5
VT,2016,windham,6,,50W-6
VT,2016,windhambennington,,,50WIB
VT,2016,windhambenningtonwindsor,,,50WBW
VT,2016,windsor,1,,50Y-1
