state_abbr,year,dname,dno,geopost,geoid
MA,2016,berkshirehampshirefranklinhampden,,,25004
MA,2016,bristolnorfolk,,,25031
MA,2016,bristolplymouth,1,,25037
MA,2016,bristolplymouth,2,,25038
MA,2016,capeislands,,,25040
MA,2016,essex,1,,25019
MA,2016,essex,2,,25021
MA,2016,essex,3,,25022
MA,2016,essexmiddlesex,2,,25018
MA,2016,essexmiddlesex,1,,25020
MA,2016,hampden,,,25003
MA,2016,hampdenhampshire,1,,25007
MA,2016,hampdenhampshire,2,,25005
MA,2016,hampshirefranklinworcester,,,25006
MA,2016,middlesex,5,,25023
MA,2016,middlesex,1,,25013
MA,2016,middlesex,2,,25025
MA,2016,middlesex,3,,25016
MA,2016,middlesex,4,,25024
MA,2016,middlesexnorfolk,2,,25015
MA,2016,middlesexnorfolk,1,,25029
MA,2016,middlesexsuffolk,,,25026
MA,2016,middlesexworcester,,,25014
MA,2016,norfolkbristolmiddlesex,,,25017
MA,2016,norfolkbristolplymouth,,,25032
MA,2016,norfolkplymouth,,,25033
MA,2016,norfolksuffolk,,,25030
MA,2016,plymouthbarnstable,,,25039
MA,2016,plymouthbristol,1,,25036
MA,2016,plymouthbristol,2,,25035
MA,2016,plymouthnorfolk,,,25034
MA,2016,suffolk,1,,25001
MA,2016,suffolk,2,,25002
MA,2016,suffolkmiddlesex,1,,25027
MA,2016,suffolkmiddlesex,2,,25028
MA,2016,worcester,1,,25010
MA,2016,worcester,2,,25011
MA,2016,worcesterhampdenhampshiremiddlesex,,,25008
MA,2016,worcestermiddlesex,,,25009
MA,2016,worcesternorfolk,,,25012
VT,2016,addison,,,50ADD
VT,2016,bennington,,,50BEN
VT,2016,caledonia,,,50CAL
VT,2016,chittenden,,,50CGI
VT,2016,essexorleans,,,50CHI
VT,2016,franklin,,,50E-O
VT,2016,grandisle,,,50FRA
VT,2016,lamoille,,,50LAM
VT,2016,orange,,,50ORA
VT,2016,rutland,,,50RUT
VT,2016,washington,,,50WAS
VT,2016,windham,,,50WDM
VT,2016,windsor,,,50WSR
